:START_ID,:END_ID,:TYPE
hotel_0056,rate_0007,Rate
hotel_0057,rate_0007,Rate
hotel_0068,rate_0007,Rate
hotel_0069,rate_0007,Rate
hotel_0075,rate_0007,Rate
hotel_0077,rate_0007,Rate
hotel_0078,rate_0007,Rate
hotel_0082,rate_0007,Rate
hotel_0085,rate_0007,Rate
hotel_0088,rate_0007,Rate
hotel_0089,rate_0007,Rate
hotel_0090,rate_0007,Rate
hotel_0095,rate_0007,Rate
hotel_0096,rate_0007,Rate
hotel_0097,rate_0007,Rate
hotel_0098,rate_0007,Rate
hotel_0099,rate_0007,Rate
hotel_0100,rate_0007,Rate
hotel_0102,rate_0007,Rate
hotel_0106,rate_0007,Rate
hotel_0113,rate_0007,Rate
hotel_0118,rate_0007,Rate
hotel_0121,rate_0007,Rate
hotel_0122,rate_0007,Rate
hotel_0124,rate_0007,Rate
hotel_0127,rate_0007,Rate
hotel_0129,rate_0007,Rate
hotel_0130,rate_0007,Rate
hotel_0137,rate_0007,Rate
hotel_0149,rate_0007,Rate
hotel_0151,rate_0007,Rate
hotel_0153,rate_0007,Rate
hotel_0154,rate_0007,Rate
hotel_0157,rate_0007,Rate
hotel_0158,rate_0007,Rate
hotel_0167,rate_0007,Rate
hotel_0168,rate_0007,Rate
hotel_0171,rate_0007,Rate
hotel_0172,rate_0007,Rate
hotel_0177,rate_0007,Rate
hotel_0178,rate_0007,Rate
hotel_0179,rate_0007,Rate
hotel_0180,rate_0007,Rate
hotel_0182,rate_0007,Rate
hotel_0183,rate_0007,Rate
hotel_0186,rate_0007,Rate
hotel_0188,rate_0007,Rate
hotel_0189,rate_0007,Rate
hotel_0195,rate_0007,Rate
hotel_0196,rate_0007,Rate
hotel_0197,rate_0007,Rate
hotel_0199,rate_0007,Rate
hotel_0204,rate_0007,Rate
hotel_0205,rate_0007,Rate
hotel_0207,rate_0007,Rate
hotel_0208,rate_0007,Rate
hotel_0230,rate_0007,Rate
hotel_0232,rate_0007,Rate
hotel_0237,rate_0007,Rate
hotel_0243,rate_0007,Rate
hotel_0244,rate_0007,Rate
hotel_0251,rate_0007,Rate
hotel_0252,rate_0007,Rate
hotel_0253,rate_0007,Rate
hotel_0255,rate_0007,Rate
hotel_0262,rate_0007,Rate
hotel_0273,rate_0007,Rate
hotel_0275,rate_0007,Rate
hotel_0287,rate_0007,Rate
hotel_0288,rate_0007,Rate
hotel_0289,rate_0007,Rate
hotel_0290,rate_0007,Rate
hotel_0291,rate_0007,Rate
hotel_0293,rate_0007,Rate
hotel_0295,rate_0007,Rate
hotel_0302,rate_0007,Rate
hotel_0305,rate_0007,Rate
hotel_0306,rate_0007,Rate
hotel_0307,rate_0007,Rate
hotel_0310,rate_0007,Rate
hotel_0313,rate_0007,Rate
hotel_0314,rate_0007,Rate
hotel_0318,rate_0007,Rate
hotel_0319,rate_0007,Rate
hotel_0323,rate_0007,Rate
hotel_0327,rate_0007,Rate
hotel_0329,rate_0007,Rate
hotel_0331,rate_0007,Rate
hotel_0332,rate_0007,Rate
hotel_0334,rate_0007,Rate
hotel_0337,rate_0007,Rate
hotel_0338,rate_0007,Rate
hotel_0340,rate_0007,Rate
hotel_0341,rate_0007,Rate
hotel_0342,rate_0007,Rate
hotel_0344,rate_0007,Rate
hotel_0348,rate_0007,Rate
hotel_0349,rate_0007,Rate
hotel_0351,rate_0007,Rate
hotel_0354,rate_0007,Rate
hotel_0356,rate_0007,Rate
hotel_0357,rate_0007,Rate
hotel_0362,rate_0007,Rate
hotel_0364,rate_0007,Rate
hotel_0365,rate_0007,Rate
hotel_0366,rate_0007,Rate
hotel_0370,rate_0007,Rate
hotel_0371,rate_0007,Rate
hotel_0374,rate_0007,Rate
hotel_0375,rate_0007,Rate
hotel_0376,rate_0007,Rate
hotel_0383,rate_0007,Rate
hotel_0384,rate_0007,Rate
hotel_0387,rate_0007,Rate
hotel_0389,rate_0007,Rate
hotel_0390,rate_0007,Rate
hotel_0392,rate_0007,Rate
hotel_0393,rate_0007,Rate
hotel_0395,rate_0007,Rate
hotel_0397,rate_0007,Rate
hotel_0400,rate_0007,Rate
hotel_0402,rate_0007,Rate
hotel_0404,rate_0007,Rate
hotel_0410,rate_0007,Rate
hotel_0413,rate_0007,Rate
hotel_0414,rate_0007,Rate
hotel_0418,rate_0007,Rate
hotel_0419,rate_0007,Rate
hotel_0423,rate_0007,Rate
hotel_0424,rate_0007,Rate
hotel_0425,rate_0007,Rate
hotel_0429,rate_0007,Rate
hotel_0437,rate_0007,Rate
hotel_0447,rate_0007,Rate
hotel_0448,rate_0007,Rate
hotel_0451,rate_0007,Rate
hotel_0456,rate_0007,Rate
hotel_0459,rate_0007,Rate
hotel_0460,rate_0007,Rate
hotel_0466,rate_0007,Rate
hotel_0476,rate_0007,Rate
hotel_0477,rate_0007,Rate
hotel_0481,rate_0007,Rate
hotel_0483,rate_0007,Rate
hotel_0485,rate_0007,Rate
hotel_0489,rate_0007,Rate
hotel_0492,rate_0007,Rate
hotel_0494,rate_0007,Rate
hotel_0495,rate_0007,Rate
hotel_0501,rate_0007,Rate
hotel_0503,rate_0007,Rate
hotel_0506,rate_0007,Rate
hotel_0507,rate_0007,Rate
hotel_0508,rate_0007,Rate
hotel_0511,rate_0007,Rate
hotel_0512,rate_0007,Rate
hotel_0521,rate_0007,Rate
hotel_0524,rate_0007,Rate
