SightID:ID,Name_CN,Name_EN,URL,:LABEL
sight_0140,政府办公大院,Government House,https://you.ctrip.com/sight/sydney236/1734502.html,Sight
sight_0141,玫瑰园,Swane's Nurseries,https://you.ctrip.com/sight/dural2126442/1412608.html,Sight
sight_0142,小悉立斯湾,Sirius Cove,https://you.ctrip.com/sight/sydney236/1734518.html,Sight
sight_0143,豪勋爵岛海洋公园,Lord Howe Island Marine Park,https://you.ctrip.com/sight/sydney236/1711801.html,Sight
sight_0144,克雷蒙点,Cremorne Point to Mosman Bay Walk,https://you.ctrip.com/sight/sydney236/1734447.html,Sight
sight_0145,蓝山直升机观光,Blue Mountains Sightseeing by Helicopter,https://you.ctrip.com/sight/sydney236/2479096.html,Sight
sight_0146,瓦塔莫拉海滩,Wattamolla Beach,https://you.ctrip.com/sight/wollongong16223/1760303.html,Sight
sight_0147,帕拉马塔公园,Parramatta Park,https://www.tripadvisor.com.au/Attraction_Review-g1234132-d7000506-Reviews-Parramatta_Park-Parramatta_Greater_Sydney_New_South_Wales.html,Sight
sight_0148,港畔主销 - 保龄球， 激光标签， 派对， VR， 卡拉OK， 公司活动,"Kingpin Harbourside - Bowling, Laser Tag, Parties, VR, Karaoke, Corporate Events",https://you.ctrip.com/sight/sydney236/5307961.html,Sight
sight_0149,贝克海滩,Shelly Beach,https://you.ctrip.com/sight/manly2126991/1734398.html,Sight
sight_0150,费尔非尔德市农场,Calmsley Hill City Farm,https://you.ctrip.com/sight/prestons1466286/5073463.html,Sight
sight_0151,马鲁巴海滩,Maroubra Beach,https://you.ctrip.com/sight/sydney236/1412610.html,Sight
sight_0152,骏域谷骑马,Glenworth Valley Horse Riding,https://you.ctrip.com/sight/sydney236/2479302.html,Sight
sight_0153,马拉巴尔岬角国家公园,Malabar Headland National Park,https://you.ctrip.com/sight/sydney236/4458469.html,Sight
sight_0154,坎普科夫海滩,Camp Cove Beach,https://you.ctrip.com/sight/sydney236/3110300.html,Sight
sight_0155,加里森教堂,The Garrison Church,https://you.ctrip.com/sight/sydney236/1412607.html,Sight
sight_0156,消防博物馆,Museum of Fire,https://you.ctrip.com/sight/penrith16222/1766921.html,Sight
sight_0157,ATTY画廊 - 悉尼艺术商店,ATTY Gallery - Art Shop Sydney,https://you.ctrip.com/sight/sydney236/4439552.html,Sight
sight_0158,护士小巷,Nurses Walk,https://you.ctrip.com/sight/sydney236/1734484.html,Sight
sight_0159,温迪·怀特利的秘密花园,Wendy Whiteley's Secret Garden,https://you.ctrip.com/sight/milsonspoint1463005/5156327.html,Sight
sight_0160,罗克代尔图书馆,Rockdale Library,https://you.ctrip.com/sight/sydney236/5338641.html,Sight
sight_0161,渡轮小径,Ferry Lane,https://you.ctrip.com/sight/sydney236/1412712.html,Sight
sight_0162,蓝山绝景世界,Scenic World,https://you.ctrip.com/sight/katoomba1601/1711776.html,Sight
sight_0163,City Sightseeing观光巴士,Sydney bus tour hop and off,https://you.ctrip.com/sight/sydney236/2481740.html,Sight
sight_0164,史蒂芬斯溪水库,Stephens Creek Reservoir,https://you.ctrip.com/sight/sydney236/1711757.html,Sight
sight_0165,绅士魔术师的魔法晚会,The Gentleman Magician’s Magical Soirée,https://you.ctrip.com/sight/sydney236/4940640.html,Sight
sight_0166,国家澳宝收藏馆,The National Opal Collection,https://you.ctrip.com/sight/sydney236/1734497.html,Sight
sight_0167,帕丁顿水库花园,Padington Reservoir Garden,https://you.ctrip.com/sight/paddington2014457/5320218.html,Sight
sight_0168,喀斯灌木林公园,Carss Bush Park,https://www.tripadvisor.com.au/Attraction_Review-g815419-d12200265-Reviews-Carss_Bush_Park-Kogarah_Greater_Sydney_New_South_Wales.html,Sight
sight_0169,悉尼苏伊士渠,Suez Canal,https://you.ctrip.com/sight/sydney236/1412709.html,Sight
sight_0170,悉尼水上飞机,Sydney Seaplanes,https://you.ctrip.com/sight/sydney236/4902540.html,Sight
sight_0171,悉尼抒情剧院,Sydney Lyric Theatre,https://you.ctrip.com/sight/pyrmont2126870/5073814.html,Sight
sight_0172,帕拉马塔市图书馆,City of Parramatta Library,https://you.ctrip.com/sight/sydney236/4280351.html,Sight
sight_0173,悉尼邦迪纳皮划艇,Bundeena Kayaks in Sydney,https://you.ctrip.com/sight/sydney236/5345510.html,Sight
sight_0174,澳大利亚货币证券博物馆,Museum of Australian Currency Notes,https://you.ctrip.com/sight/sydney236/1734404.html,Sight
sight_0175,悉尼板球场,Sydney Cricket Ground,https://you.ctrip.com/sight/paddington2014457/1734433.html,Sight
sight_0176,首个总督府遗址,First Government House Site,https://you.ctrip.com/sight/sydney236/1734541.html,Sight
sight_0177,iFLY Downunder,iFLY Downunder,https://you.ctrip.com/sight/penrith16222/5365101.html,Sight
sight_0178,车场空间,Carriageworks,https://you.ctrip.com/sight/eveleigh2126542/1734492.html,Sight
sight_0179,麦夸里广场,Macquarie Place,https://you.ctrip.com/sight/sydney236/1415011.html,Sight
sight_0180,玫瑰湾至尼尔森公园漫步,Rose Bay to Nielsen Park Walk,https://you.ctrip.com/sight/sydney236/1734473.html,Sight
sight_0181,犹太教堂,Great Synagogue,https://you.ctrip.com/sight/sydney236/1734463.html,Sight
sight_0182,澳大利亚体育场,ANZ Stadium,https://you.ctrip.com/sight/sydneyolympicpark2126793/1734481.html,Sight
sight_0183,斯蒂芬斯港摩托沙漠骑行,Port Stephens Motorcycle Desert Ride,https://you.ctrip.com/sight/sydney236/2479097.html,Sight
sight_0184,悉尼美食活动,Taste of Sydney,https://you.ctrip.com/sight/sydney236/1412739.html,Sight
sight_0185,格列布,Glebe,https://you.ctrip.com/sight/sydney236/1734418.html,Sight
sight_0186,巴兰加鲁海滨步道,Barangaroo Foreshore Walk,https://you.ctrip.com/sight/sydney236/2056113.html,Sight
sight_0187,拉什卡特湾公园,Rushcutters Bay Park,https://you.ctrip.com/sight/darlingpoint2126509/4463431.html,Sight
sight_0188,悉尼电影节,Sydney Film Festival,https://you.ctrip.com/sight/sydney236/1412751.html,Sight
sight_0189,三姐妹峰,Three Sisters walk,https://you.ctrip.com/sight/katoomba1601/1692491.html,Sight
sight_0190,曲多斯银行竞技场,Qudos Bank Arena,https://you.ctrip.com/sight/sydneyolympicpark2126793/5142088.html,Sight
sight_0191,北头,North Head,https://you.ctrip.com/sight/manly2126991/131900860.html,Sight
sight_0192,苏珊娜房舍,Susannah Place Museum,https://you.ctrip.com/sight/sydney236/1734517.html,Sight
sight_0193,曼利检疫站,Manly Quarantine Station,https://you.ctrip.com/sight/sydney236/5401926.html,Sight
sight_0194,领地公园,The Domain - Phillip Precinct,https://you.ctrip.com/sight/sydney236/1832207.html,Sight
sight_0195,卧龙岗防波堤灯塔,Wollongong Breakwater Lighthouse,https://you.ctrip.com/sight/wollongong16223/123111.html,Sight
sight_0196,韦斯特菲尔德东花园,Westfield Eastgardens,https://you.ctrip.com/sight/eastgardens2126446/1829316.html,Sight
sight_0197,演说者之角,Speakers' Corner,https://you.ctrip.com/sight/sydney236/1412621.html,Sight
sight_0198,麦克里博物馆,Macleay Museum,https://you.ctrip.com/sight/sydney236/1734498.html,Sight
sight_0199,海豹,Seals,https://you.ctrip.com/sight/sydney236/5299694.html,Sight
sight_0200,科拉罗伊海滩游乐场,Collaroy Beach Playground,https://you.ctrip.com/sight/sydney236/4459505.html,Sight
sight_0201,滑,Slide,https://you.ctrip.com/sight/sydney236/4564404.html,Sight
sight_0202,曼利斯匹特桥,The Spit Bridge to Manly Walk,https://you.ctrip.com/sight/sydney236/1734304.html,Sight
sight_0203,斯坦威尔公园海滩,Stanwell Park Beach,https://you.ctrip.com/sight/stanwellpark1467022/1711804.html,Sight
sight_0204,悉尼国际会展中心,ICC Sydney,https://you.ctrip.com/sight/sydney236/5223237.html,Sight
sight_0205,骏域谷四驱车体验,Glenworth Valley 4WD Experience,https://you.ctrip.com/sight/sydney236/2478789.html,Sight
sight_0206,秀舫游船表演,,https://you.ctrip.com/sight/sydney236/2482541.html,Sight
sight_0207,沃勒甘巴坝,Warragamba Dam,https://you.ctrip.com/sight/warragamba1470038/5182511.html,Sight
sight_0208,海登欧菲姆图片宫,Hayden Orpheum Picture Palace,https://you.ctrip.com/sight/cremorne2126609/5294034.html,Sight
sight_0209,Wisemans Inn,Wisemans Inn Hotel,https://you.ctrip.com/sight/wisemansferry61049/5355358.html,Sight
sight_0210,鲨鱼岛,Shark Island,https://you.ctrip.com/sight/sydney236/1734486.html,Sight
sight_0211,伊丽莎白湾embarktion街心公园,embarktion park,https://you.ctrip.com/sight/sydney236/1699353.html,Sight
sight_0212,米尔森角,Milsons Point,https://you.ctrip.com/sight/campbelltown16156/4513108.html,Sight
sight_0213,克洛夫利,Clovelly,https://you.ctrip.com/sight/sydney236/1734501.html,Sight
sight_0214,curl curl beach,South Curl Curl Beach,https://you.ctrip.com/sight/curlcurl2126549/1828571.html,Sight
sight_0215,阿莱曼喷泉,El Alamein Memorial Fountain,https://you.ctrip.com/sight/sydney236/1412704.html,Sight
sight_0216,逃避,Elude,https://you.ctrip.com/sight/galston1466706/4759914.html,Sight
sight_0217,布拉戈朗了望台和野餐区,Burragorang lookout and picnic area,https://you.ctrip.com/sight/nattai1464294/1760362.html,Sight
sight_0218,West Head Lookout,West Head Look out,https://you.ctrip.com/sight/kuringgaichase1462193/1734482.html,Sight
sight_0219,邦迪纳镇,Bundeena Town,https://you.ctrip.com/sight/sydney236/5313007.html,Sight
sight_0220,亨利·劳森保护区,Henry Lawson Reserve,https://you.ctrip.com/sight/sydney236/5347110.html,Sight
sight_0221,菲利普总督大楼,Governor Phillip Tower,https://you.ctrip.com/sight/sydney236/1412414.html,Sight
sight_0222,骏域谷皮划艇体验,Glenworth Valley Kayaking,https://you.ctrip.com/sight/sydney236/2479208.html,Sight
sight_0223,北头保护区,North Head Sanctuary,https://you.ctrip.com/sight/sydney236/1711787.html,Sight
sight_0224,南克罗鲁娜海滩,South Cronulla Beach,https://you.ctrip.com/sight/sydney236/1734479.html,Sight
sight_0225,朱比利体育场,Netstrata Jubilee Stadium,https://you.ctrip.com/sight/carlton2126612/5223281.html,Sight
sight_0226,奥特利公园,Oatley Park,https://you.ctrip.com/sight/peakhurstheights2126519/5162851.html,Sight
sight_0227,钢铁公园,Steel Park,https://you.ctrip.com/sight/sydney236/3112821.html,Sight
sight_0228,圣马修在Corso上,St Matthew's on the Corso,https://you.ctrip.com/sight/sydney236/4432842.html,Sight
sight_0229,巴伦乔伊灯塔,Barrenjoey Lighthouse,https://you.ctrip.com/sight/palmbeach16194/2830847.html,Sight
sight_0230,绿园,Green Park,https://you.ctrip.com/sight/sydney236/1412573.html,Sight
sight_0231,莱恩科夫河,Lane Cove River,https://you.ctrip.com/sight/sydney236/1831805.html,Sight
